rds_index,hourbin,ewt,count,daybin,date,rbt,speed
M4_2_0,2,2.17,3067,2,10-18-2015,null,null
M4_2_0,3,3.72,1159,2,10-18-2015,null,null
M4_2_0,4,4.22,167,2,10-18-2015,null,null
M4_0_0,0,2.24,6399,1,10-19-2015,161.71,10.0
M4_1_0,0,1.74,5659,1,10-19-2015,208.59,5.3675
M4_2_0,0,2.01,12058,1,10-19-2015,185.15,7.29
M4_0_0,1,1.61,1892,1,10-19-2015,null,null
M4_0_0,2,2.15,2585,1,10-19-2015,null,null
M4_0_0,3,2.77,1354,1,10-19-2015,null,null
M4_0_0,4,3.0,568,1,10-19-2015,null,null
M4_1_0,1,1.27,1776,1,10-19-2015,null,null
M4_1_0,2,1.94,2924,1,10-19-2015,null,null
M4_1_0,3,1.97,764,1,10-19-2015,null,null
M4_1_0,4,2.14,195,1,10-19-2015,null,null
M4_2_0,1,1.45,3668,1,10-19-2015,null,null
M4_2_0,2,2.04,5509,1,10-19-2015,null,null
M4_2_0,3,2.47,2118,1,10-19-2015,null,null
M4_2_0,4,2.79,763,1,10-19-2015,null,null
M4_0_0,0,2.72,5223,1,10-20-2015,190.47,9.9225
M4_1_0,0,2.22,4509,1,10-20-2015,259.03,5.6125
M4_2_0,0,2.5,9732,1,10-20-2015,224.75,7.35
M4_0_0,1,2.2,1579,1,10-20-2015,null,null
M4_0_0,2,2.83,2212,1,10-20-2015,null,null
M4_0_0,3,3.49,1001,1,10-20-2015,null,null
M4_0_0,4,2.53,431,1,10-20-2015,null,null
M4_1_0,1,1.39,1574,1,10-20-2015,null,null
M4_1_0,2,2.63,2207,1,10-20-2015,null,null
M4_1_0,3,2.68,568,1,10-20-2015,null,null
M4_1_0,4,2.84,160,1,10-20-2015,null,null
M4_2_0,1,1.82,3153,1,10-20-2015,null,null
M4_2_0,2,2.72,4419,1,10-20-2015,null,null
M4_2_0,3,3.19,1569,1,10-20-2015,null,null
M4_2_0,4,2.55,591,1,10-20-2015,null,null
M4_0_0,0,2.55,4436,1,10-21-2015,182.8,8.895
M4_1_0,0,2.93,3855,1,10-21-2015,297.87,5.065
M4_2_0,0,2.73,8291,1,10-21-2015,240.34,6.6575
M4_0_0,1,2.41,1543,1,10-21-2015,null,null
M4_0_0,2,2.35,1482,1,10-21-2015,null,null
M4_0_0,3,3.15,952,1,10-21-2015,null,null
M4_0_0,4,2.24,459,1,10-21-2015,null,null
M4_1_0,1,2.35,1277,1,10-21-2015,null,null
M4_1_0,2,2.83,2020,1,10-21-2015,null,null
M4_1_0,3,4.73,444,1,10-21-2015,null,null
M4_1_0,4,3.51,114,1,10-21-2015,null,null
M4_2_0,1,2.39,2820,1,10-21-2015,null,null
M4_2_0,2,2.65,3502,1,10-21-2015,null,null
M4_2_0,3,3.64,1396,1,10-21-2015,null,null
M4_2_0,4,2.44,573,1,10-21-2015,null,null
M4_0_0,0,2.6,4920,1,10-22-2015,175.94,9.26
M4_1_0,0,2.26,3938,1,10-22-2015,267.17,5.225
M4_2_0,0,2.45,8858,1,10-22-2015,221.56,7.0025
M4_0_0,1,2.4,1677,1,10-22-2015,null,null
M4_0_0,2,2.33,1724,1,10-22-2015,null,null
M4_0_0,3,3.19,1159,1,10-22-2015,null,null
M4_0_0,4,2.98,360,1,10-22-2015,null,null
M4_1_0,1,1.64,1431,1,10-22-2015,null,null
M4_1_0,2,2.03,2031,1,10-22-2015,null,null
M4_1_0,3,4.72,338,1,10-22-2015,null,null
M4_1_0,4,3.91,138,1,10-22-2015,null,null
M4_2_0,1,2.06,3108,1,10-22-2015,null,null
M4_2_0,2,2.17,3755,1,10-22-2015,null,null
M4_2_0,3,3.58,1497,1,10-22-2015,null,null
M4_2_0,4,3.24,498,1,10-22-2015,null,null
M4_0_0,0,2.67,6276,1,10-23-2015,163.4,9.385
M4_1_0,0,1.77,4984,1,10-23-2015,246.41,5.43
M4_2_0,0,2.29,11260,1,10-23-2015,204.9,7.1625
M4_0_0,1,2.14,1719,1,10-23-2015,null,null
M4_0_0,2,2.57,2410,1,10-23-2015,null,null
M4_0_0,3,3.06,1547,1,10-23-2015,null,null
M4_0_0,4,3.07,600,1,10-23-2015,null,null
M4_1_0,1,0.99,1652,1,10-23-2015,null,null
M4_1_0,2,2.28,2675,1,10-23-2015,null,null
M4_1_0,3,1.78,469,1,10-23-2015,null,null
M4_1_0,4,1.71,188,1,10-23-2015,null,null
M4_2_0,1,1.56,3371,1,10-23-2015,null,null
M4_2_0,2,2.42,5085,1,10-23-2015,null,null
M4_2_0,3,2.74,2016,1,10-23-2015,null,null
M4_2_0,4,2.86,788,1,10-23-2015,null,null
M4_0_0,0,3.3,1913,2,10-24-2015,157.82,10.1375
M4_1_0,0,2.54,2719,2,10-24-2015,174.64,5.5975
M4_2_0,0,2.86,4632,2,10-24-2015,166.23,7.2025
M4_0_0,1,1.47,241,2,10-24-2015,null,null
M4_0_0,2,3.24,982,2,10-24-2015,null,null
M4_0_0,3,3.37,585,2,10-24-2015,null,null
M4_0_0,4,4.76,105,2,10-24-2015,null,null
M4_1_0,1,1.54,383,2,10-24-2015,null,null
M4_1_0,2,2.49,1966,2,10-24-2015,null,null
M4_1_0,3,4.42,248,2,10-24-2015,null,null
M4_1_0,4,2.63,122,2,10-24-2015,null,null
M4_2_0,1,1.54,624,2,10-24-2015,null,null
M4_2_0,2,2.76,2948,2,10-24-2015,null,null
M4_2_0,3,3.74,833,2,10-24-2015,null,null
M4_2_0,4,3.88,227,2,10-24-2015,null,null
M4_0_0,0,2.31,2478,2,10-25-2015,124.57,12.225
M4_1_0,0,2.38,2545,2,10-25-2015,142.32,6.6075
M4_2_0,0,2.34,5023,2,10-25-2015,133.45,8.7975
M4_0_0,1,0.6,433,2,10-25-2015,null,null
M4_0_0,2,2.29,1232,2,10-25-2015,null,null
M4_0_0,3,3.84,774,2,10-25-2015,null,null
M4_0_0,4,-2.82,39,2,10-25-2015,null,null
M4_1_0,1,-0.67,205,2,10-25-2015,null,null
M4_1_0,2,2.3,1774,2,10-25-2015,null,null
M4_1_0,3,3.48,490,2,10-25-2015,null,null
M4_1_0,4,4.25,76,2,10-25-2015,null,null
M4_2_0,1,0.32,638,2,10-25-2015,null,null
M4_2_0,2,2.3,3006,2,10-25-2015,null,null
M4_2_0,3,3.7,1264,2,10-25-2015,null,null
M4_2_0,4,1.92,115,2,10-25-2015,null,null
M4_0_0,0,2.32,6234,1,10-26-2015,142.12,9.295
M4_1_0,0,2.28,4932,1,10-26-2015,241.58,5.4975
M4_2_0,0,2.3,11166,1,10-26-2015,191.85,7.1
M4_0_0,1,1.56,1733,1,10-26-2015,null,null
M4_0_0,2,2.98,2505,1,10-26-2015,null,null
M4_0_0,3,2.03,1336,1,10-26-2015,null,null
M4_0_0,4,2.21,660,1,10-26-2015,null,null
M4_1_0,1,1.5,1619,1,10-26-2015,null,null
M4_1_0,2,2.6,2680,1,10-26-2015,null,null
M4_1_0,3,3.24,521,1,10-26-2015,null,null
M4_1_0,4,1.42,112,1,10-26-2015,null,null
M4_2_0,1,1.53,3352,1,10-26-2015,null,null
M4_2_0,2,2.79,5185,1,10-26-2015,null,null
M4_2_0,3,2.45,1857,1,10-26-2015,null,null
M4_2_0,4,2.13,772,1,10-26-2015,null,null
M4_0_0,0,2.7,5820,1,10-27-2015,167.42,9.06
M4_1_0,0,2.06,4708,1,10-27-2015,253.99,5.535
M4_2_0,0,2.44,10528,1,10-27-2015,210.71,6.955
M4_0_0,1,2.35,1615,1,10-27-2015,null,null
M4_0_0,2,2.8,2129,1,10-27-2015,null,null
M4_0_0,3,2.86,1434,1,10-27-2015,null,null
M4_0_0,4,2.85,642,1,10-27-2015,null,null
M4_1_0,1,1.14,1552,1,10-27-2015,null,null
M4_1_0,2,2.35,2296,1,10-27-2015,null,null
M4_1_0,3,3.37,675,1,10-27-2015,null,null
M4_1_0,4,1.0,185,1,10-27-2015,null,null
M4_2_0,1,1.78,3167,1,10-27-2015,null,null
M4_2_0,2,2.59,4425,1,10-27-2015,null,null
M4_2_0,3,3.03,2109,1,10-27-2015,null,null
M4_2_0,4,2.56,827,1,10-27-2015,null,null
M4_0_0,0,2.7,5092,1,10-28-2015,182.89,8.8125
M4_1_0,0,2.26,4368,1,10-28-2015,202.22,5.37
M4_2_0,0,2.5,9460,1,10-28-2015,192.56,6.805
M4_0_0,1,2.13,1852,1,10-28-2015,null,null
M4_0_0,2,3.63,1758,1,10-28-2015,null,null
M4_0_0,3,1.68,927,1,10-28-2015,null,null
M4_0_0,4,2.52,555,1,10-28-2015,null,null
M4_1_0,1,1.43,1840,1,10-28-2015,null,null
M4_1_0,2,2.62,1990,1,10-28-2015,null,null
M4_1_0,3,4.23,360,1,10-28-2015,null,null
M4_1_0,4,2.19,178,1,10-28-2015,null,null
M4_2_0,1,1.78,3692,1,10-28-2015,null,null
M4_2_0,2,3.13,3748,1,10-28-2015,null,null
M4_2_0,3,2.53,1287,1,10-28-2015,null,null
M4_2_0,4,2.44,733,1,10-28-2015,null,null
M4_0_0,0,2.9,4992,1,10-29-2015,228.46,9.545
M4_1_0,0,2.36,4481,1,10-29-2015,251.18,5.09
M4_2_0,0,2.65,9473,1,10-29-2015,239.82,6.93
M4_0_0,1,1.53,1665,1,10-29-2015,null,null
M4_0_0,2,3.33,2232,1,10-29-2015,null,null
M4_0_0,3,3.58,825,1,10-29-2015,null,null
M4_0_0,4,4.04,270,1,10-29-2015,null,null
M4_1_0,1,1.71,1619,1,10-29-2015,null,null
M4_1_0,2,2.43,2363,1,10-29-2015,null,null
M4_1_0,3,4.18,407,1,10-29-2015,null,null
M4_1_0,4,1.18,92,1,10-29-2015,null,null
M4_2_0,1,1.63,3284,1,10-29-2015,null,null
M4_2_0,2,2.88,4595,1,10-29-2015,null,null
M4_2_0,3,3.82,1232,1,10-29-2015,null,null
M4_2_0,4,3.49,362,1,10-29-2015,null,null
M4_0_0,0,2.81,4818,1,10-30-2015,199.48,9.1625
M4_1_0,0,2.18,4465,1,10-30-2015,231.3,4.9825
M4_2_0,0,2.52,9283,1,10-30-2015,215.39,6.7325
M4_0_0,1,1.86,1840,1,10-30-2015,null,null
M4_0_0,2,3.62,1824,1,10-30-2015,null,null
M4_0_0,3,3.16,868,1,10-30-2015,null,null
M4_0_0,4,2.79,286,1,10-30-2015,null,null
M4_1_0,1,1.58,1714,1,10-30-2015,null,null
M4_1_0,2,2.57,2417,1,10-30-2015,null,null
M4_1_0,3,2.67,222,1,10-30-2015,null,null
