rds_index,hourbin,ewt,count,daybin,date,rbt,speed
M4_0_0,0,2.84,3711,1,10-01-2015,206.62,9.105
M4_1_0,0,2.17,3674,1,10-01-2015,251.39,5.2425
M4_2_0,0,2.5,7385,1,10-01-2015,229.0,6.82
M4_0_0,1,2.24,1641,1,10-01-2015,null,null
M4_0_0,2,3.35,1294,1,10-01-2015,null,null
M4_0_0,3,3.45,530,1,10-01-2015,null,null
M4_0_0,4,2.48,246,1,10-01-2015,null,null
M4_1_0,1,1.13,1559,1,10-01-2015,null,null
M4_1_0,2,2.82,1650,1,10-01-2015,null,null
M4_1_0,3,2.74,347,1,10-01-2015,null,null
M4_1_0,4,3.23,118,1,10-01-2015,null,null
M4_2_0,1,1.69,3200,1,10-01-2015,null,null
M4_2_0,2,3.05,2944,1,10-01-2015,null,null
M4_2_0,3,3.15,877,1,10-01-2015,null,null
M4_2_0,4,2.71,364,1,10-01-2015,null,null
M4_0_0,0,2.85,4603,1,10-02-2015,204.91,8.655
M4_1_0,0,2.11,4323,1,10-02-2015,251.73,5.485
M4_2_0,0,2.5,8926,1,10-02-2015,228.32,6.7775
M4_0_0,1,2.03,1778,1,10-02-2015,null,null
M4_0_0,2,3.33,1529,1,10-02-2015,null,null
M4_0_0,3,3.17,938,1,10-02-2015,null,null
M4_0_0,4,3.23,358,1,10-02-2015,null,null
M4_1_0,1,1.44,1606,1,10-02-2015,null,null
