rds_index,hourbin,ewt,count,daybin,date,rbt,speed
BX39_0_0,0,1.5,3730,1,10-07-2015,79.03,7.0825
BX39_1_0,0,1.55,3237,1,10-07-2015,76.43,6.6425
BX39_2_0,0,1.52,6967,1,10-07-2015,77.73,6.9025
BX39_0_0,1,1.51,1149,1,10-07-2015,null,null
BX39_0_0,2,1.88,1443,1,10-07-2015,null,null
BX39_0_0,3,1.51,722,1,10-07-2015,null,null
BX39_0_0,4,0.34,416,1,10-07-2015,null,null
BX39_1_0,1,0.9,887,1,10-07-2015,null,null
BX39_1_0,2,2.2,1329,1,10-07-2015,null,null
BX39_1_0,3,0.92,674,1,10-07-2015,null,null
BX39_1_0,4,1.69,347,1,10-07-2015,null,null
BX39_2_0,1,1.23,2036,1,10-07-2015,null,null
BX39_2_0,2,2.03,2772,1,10-07-2015,null,null
BX39_2_0,3,1.22,1396,1,10-07-2015,null,null
BX39_2_0,4,1.01,763,1,10-07-2015,null,null
BX39_0_0,0,1.05,3522,1,10-08-2015,83.97,7.3025
BX39_1_0,0,1.45,3054,1,10-08-2015,85.7,6.3425
BX39_2_0,0,1.24,6576,1,10-08-2015,84.84,6.8975
BX39_0_0,1,1.41,1130,1,10-08-2015,null,null
BX39_0_0,2,0.8,1455,1,10-08-2015,null,null
BX39_0_0,3,1.33,669,1,10-08-2015,null,null
BX39_0_0,4,0.65,268,1,10-08-2015,null,null
BX39_1_0,1,1.1,921,1,10-08-2015,null,null
BX39_1_0,2,1.69,1281,1,10-08-2015,null,null
BX39_1_0,3,1.62,568,1,10-08-2015,null,null
BX39_1_0,4,1.18,284,1,10-08-2015,null,null
BX39_2_0,1,1.25,2051,1,10-08-2015,null,null
BX39_2_0,2,1.22,2736,1,10-08-2015,null,null
BX39_2_0,3,1.46,1237,1,10-08-2015,null,null
BX39_2_0,4,0.95,552,1,10-08-2015,null,null
BX39_0_0,0,2.21,2818,1,10-09-2015,127.56,6.625
BX39_1_0,0,1.88,2571,1,10-09-2015,87.07,6.49
BX39_2_0,0,2.05,5389,1,10-09-2015,107.31,6.57
BX39_0_0,1,1.69,1101,1,10-09-2015,null,null
BX39_0_0,2,2.55,1137,1,10-09-2015,null,null
BX39_0_0,3,2.42,308,1,10-09-2015,null,null
BX39_0_0,4,2.61,272,1,10-09-2015,null,null
BX39_1_0,1,0.93,779,1,10-09-2015,null,null
BX39_1_0,2,2.38,1230,1,10-09-2015,null,null
BX39_1_0,3,2.97,258,1,10-09-2015,null,null
BX39_1_0,4,1.39,304,1,10-09-2015,null,null
BX39_2_0,1,1.35,1880,1,10-09-2015,null,null
BX39_2_0,2,2.46,2367,1,10-09-2015,null,null
BX39_2_0,3,2.65,566,1,10-09-2015,null,null
BX39_2_0,4,1.91,576,1,10-09-2015,null,null
BX39_0_0,0,1.26,1920,2,10-10-2015,73.19,7.3075
BX39_1_0,0,2.3,1920,2,10-10-2015,68.39,6.645
BX39_2_0,0,1.8,3840,2,10-10-2015,70.79,7.025
BX39_0_0,1,0.29,444,2,10-10-2015,null,null
BX39_0_0,2,1.13,823,2,10-10-2015,null,null
BX39_0_0,3,2.81,437,2,10-10-2015,null,null
BX39_0_0,4,0.65,216,2,10-10-2015,null,null
BX39_1_0,1,1.37,447,2,10-10-2015,null,null
BX39_1_0,2,2.7,909,2,10-10-2015,null,null
BX39_1_0,3,2.37,307,2,10-10-2015,null,null
BX39_1_0,4,2.55,257,2,10-10-2015,null,null
BX39_2_0,1,0.83,891,2,10-10-2015,null,null
BX39_2_0,2,2.03,1732,2,10-10-2015,null,null
BX39_2_0,3,2.63,744,2,10-10-2015,null,null
BX39_2_0,4,1.74,473,2,10-10-2015,null,null
BX39_0_0,0,1.66,2173,2,10-11-2015,75.21,7.445
