rds_index,hourbin,ewt,count,daybin,date,rbt,speed
M4_0_0,1,1.79,1742,1,2015-10-07,null,null
M4_0_0,2,2.89,1446,1,2015-10-07,null,null
M4_0_0,3,2.28,1058,1,2015-10-07,null,null
M4_0_0,4,2.27,675,1,2015-10-07,null,null
M4_1_0,1,2.09,1594,1,2015-10-07,null,null
M4_1_0,2,3.02,1993,1,2015-10-07,null,null
M4_1_0,3,2.73,541,1,2015-10-07,null,null
M4_1_0,4,3.16,203,1,2015-10-07,null,null
M4_2_0,1,1.95,3336,1,2015-10-07,null,null
M4_2_0,2,2.96,3439,1,2015-10-07,null,null
M4_2_0,3,2.44,1599,1,2015-10-07,null,null
M4_2_0,4,2.45,878,1,2015-10-07,null,null
M4_0_0,0,3.1,4831,1,2015-10-08,179.39,9.17
M4_1_0,0,2.24,4040,1,2015-10-08,254.52,5.085
M4_2_0,0,2.73,8871,1,2015-10-08,216.95,6.7925
M4_0_0,1,2.36,1772,1,2015-10-08,null,null
M4_0_0,2,4.11,1617,1,2015-10-08,null,null
M4_0_0,3,2.07,1217,1,2015-10-08,null,null
M4_0_0,4,4.4,225,1,2015-10-08,null,null
M4_1_0,1,2.15,1559,1,2015-10-08,null,null
M4_1_0,2,2.02,1961,1,2015-10-08,null,null
M4_1_0,3,3.35,367,1,2015-10-08,null,null
M4_1_0,4,2.54,153,1,2015-10-08,null,null
M4_2_0,1,2.25,3331,1,2015-10-08,null,null
M4_2_0,2,3.11,3578,1,2015-10-08,null,null
M4_2_0,3,2.39,1584,1,2015-10-08,null,null
M4_2_0,4,3.69,378,1,2015-10-08,null,null
M4_0_0,0,2.81,4509,1,2015-10-09,201.56,9.16
M4_1_0,0,2.07,4660,1,2015-10-09,222.78,5.2475
M4_2_0,0,2.44,9169,1,2015-10-09,212.17,6.8325
M4_0_0,1,1.76,1645,1,2015-10-09,null,null
M4_0_0,2,3.33,1861,1,2015-10-09,null,null
M4_0_0,3,3.27,848,1,2015-10-09,null,null
M4_0_0,4,3.34,155,1,2015-10-09,null,null
M4_1_0,1,1.79,1799,1,2015-10-09,null,null
M4_1_0,2,2.03,2454,1,2015-10-09,null,null
M4_1_0,3,3.39,317,1,2015-10-09,null,null
M4_1_0,4,2.49,90,1,2015-10-09,null,null
M4_2_0,1,1.78,3444,1,2015-10-09,null,null
M4_2_0,2,2.62,4315,1,2015-10-09,null,null
M4_2_0,3,3.31,1165,1,2015-10-09,null,null
M4_2_0,4,3.15,245,1,2015-10-09,null,null
